QE_NAME,SOURCE,smrn_count,AAAsViewedByQE,QEAndAAAppended
GRRHIO,RRH618,0,RRH618,GRRHIO|RRH618
HEALTHIX,MEMPC,0,MEMPC,HEALTHIX|MEMPC
HIXNY,PAPLBREAST,0,PAPLBREAST,HIXNY|PAPLBREAST
HEALTHIX,MONOM,0,MONOM,HEALTHIX|MONOM
GRRHIO,UR0956,0,UR0956,GRRHIO|UR0956
GRRHIO,UR2041,0,UR2041,GRRHIO|UR2041
HEALTHIX,CRESTMC,0,CRESTMC,HEALTHIX|CRESTMC
TXD,RESCTR,0,RESCTR,TXD|RESCTR
HIXNY,CVPHSPORT,0,CVPHSPORT,HIXNY|CVPHSPORT
GRRHIO,UR0704,0,UR0704,GRRHIO|UR0704
HIXNY,CAPURODOC,0,CAPURODOC,HIXNY|CAPURODOC
HIXNY,HECG,0,HECG,HIXNY|HECG
GRRHIO,UR0543,0,UR0543,GRRHIO|UR0543
HECDCS,MICHAEL-CILIP,0,MICHAEL-CILIP,HECDCS|MICHAEL-CILIP
HEALTHIX,ECWAWM,0,ECWAWM,HEALTHIX|ECWAWM
HIXNY,AMHSAHEARHL7,0,AMHSAHEARHL7,HIXNY|AMHSAHEARHL7
HEALTHIX,MSMD,0,MSMD,HEALTHIX|MSMD
HEALTHIX,KPPFT,0,KPPFT,HEALTHIX|KPPFT
HEALTHIX,ICLHCC,0,ICLHCC,HEALTHIX|ICLHCC
GRRHIO,UR0710,0,UR0710,GRRHIO|UR0710
HEALTHIX,EMU,0,EMU,HEALTHIX|EMU
TXD,WNYCPC,0,WNYCPC,TXD|WNYCPC
GRRHIO,RRH648,0,RRH648,GRRHIO|RRH648
HIXNY,SPCCTBRUS,0,SPCCTBRUS,HIXNY|SPCCTBRUS
HEALTHIX,LICD,0,LICD,HEALTHIX|LICD
HIXNY,1598720369,0,1598720369,HIXNY|1598720369
HIXNY,PAPLSPINE,0,PAPLSPINE,HIXNY|PAPLSPINE
GRRHIO,RRH564,0,RRH564,GRRHIO|RRH564
GRRHIO,UR0219,0,UR0219,GRRHIO|UR0219
GRRHIO,RRH202,0,RRH202,GRRHIO|RRH202
BRONX,OUTREACH_DEVELOPMENT,0,OUTREACH DEVELOPMENT,BRONX|OUTREACH DEVELOPMENT
HIXNY,1689713067,0,1689713067,HIXNY|1689713067
TXD,HRNPC1,0,HRNPC1,TXD|HRNPC1
HEALTHIX,FERNY,0,FERNY,HEALTHIX|FERNY
HIXNY,208290,0,208290,HIXNY|208290
GRRHIO,UR0188,0,UR0188,GRRHIO|UR0188
GRRHIO,UR0646,0,UR0646,GRRHIO|UR0646
TXD,BOM,0,BOM,TXD|BOM
HEALTHIX,DCRN,0,DCRN,HEALTHIX|DCRN
HEALTHIX,WASH,0,WASH,HEALTHIX|WASH
HIXNY,SNOCPOBGYN,0,SNOCPOBGYN,HIXNY|SNOCPOBGYN
BRONX,ST_MARKS_PLACE_INSTITUTE_FOR_MH,0,ST MARKS PLACE INSTITUTE FOR MH,BRONX|ST MARKS PLACE INSTITUTE FOR MH
HIXNY,AHMCDOC,0,AHMCDOC,HIXNY|AHMCDOC
HECDCS,CENTERS-ST-CAM,0,CENTERS-ST-CAM,HECDCS|CENTERS-ST-CAM
HEALTHIX,TAPPC,0,TAPPC,HEALTHIX|TAPPC
BRONX,MARISSA_T_SANTOS,0,MARISSA T SANTOS,BRONX|MARISSA T SANTOS
HIXNY,SPTWBLABDS,0,SPTWBLABDS,HIXNY|SPTWBLABDS
HEALTHIX,BGRNC,0,BGRNC,HEALTHIX|BGRNC
TXD,JMHUC,0,JMHUC,TXD|JMHUC
GRRHIO,UR0465,0,UR0465,GRRHIO|UR0465
HIXNY,BXRHIODAV,0,BXRHIODAV,HIXNY|BXRHIODAV
HECDCS,WEST-HLTH-OUT-2,0,WEST-HLTH-OUT-2,HECDCS|WEST-HLTH-OUT-2
HEALTHIX,ECWBMFHC,0,ECWBMFHC,HEALTHIX|ECWBMFHC
HEALTHIX,ANMPC,0,ANMPC,HEALTHIX|ANMPC
BRONX,YPP_NEW_MODERN_MEDICINE,0,YPP NEW MODERN MEDICINE,BRONX|YPP NEW MODERN MEDICINE
HEALTHIX,WANGM,0,WANGM,HEALTHIX|WANGM
HIXNY,1750307039,0,1750307039,HIXNY|1750307039
HEALTHIX,ADPD,0,ADPD,HEALTHIX|ADPD
GRRHIO,UR2265,0,UR2265,GRRHIO|UR2265
HEALTHIX,KIPE,0,KIPE,HEALTHIX|KIPE
HECDCS,UPSTATE-CP,0,UPSTATE-CP,HECDCS|UPSTATE-CP
